trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,0,-147.76878309431336,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.5}",30,0,-75.34394879838584,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.3333333333333333}",25,0,-30.261857846968848,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.25}",20,0,-24.121781097408203,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.2}",25,0,17.715712594735965,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.16666666666666666}",20,0,-12.901747745420941,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.14285714285714285}",25,0,-6.336645225579481,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.125}",20,0,-67.41282219679873,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.1111111111111111}",25,10,25.448744265569747,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.75, 'e': 0.1}",20,0,-78.81663868615941,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.09090909090909091}",20,0,-16.11238649338945,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.08333333333333333}",20,0,25.982989709688354,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.07692307692307693}",20,0,23.548392339040596,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.75, 'e': 0.07142857142857142}",35,15,26.885738540665738,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.75, 'e': 0.06666666666666667}",20,0,17.631903886688157,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.75, 'e': 0.0625}",20,0,30.069134824155256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.75, 'e': 0.058823529411764705}",20,0,20.979247451305817,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.75, 'e': 0.05555555555555555}",25,0,36.25170787796513,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.75, 'e': 0.05263157894736842}",25,0,22.111881520835137,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.05}",25,5,-30.316148592526755,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
21,False,"{'a': 0.75, 'e': 0.047619047619047616}",20,10,14.7737812801259,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.75, 'e': 0.045454545454545456}",20,0,-20.865492921564897,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.75, 'e': 0.043478260869565216}",20,11,15.28300286177075,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.75, 'e': 0.041666666666666664}",30,13,-9.811734556820308,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.75, 'e': 0.04}",20,3,30.234033198743976,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.75, 'e': 0.038461538461538464}",25,0,37.15422583496952,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.75, 'e': 0.037037037037037035}",30,11,-9.034363612843052,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.75, 'e': 0.03571428571428571}",30,22,12.065407463713933,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.75, 'e': 0.034482758620689655}",20,9,17.39040172929098,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.75, 'e': 0.03333333333333333}",20,14,11.633135148686398,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.75, 'e': 0.03225806451612903}",20,0,-18.1989993892693,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.75, 'e': 0.03125}",20,0,3.866257129445372,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
33,False,"{'a': 0.75, 'e': 0.030303030303030304}",20,2,7.892600007202877,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.75, 'e': 0.029411764705882353}",20,4,26.527237808165687,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.75, 'e': 0.02857142857142857}",20,14,12.588467918222717,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.75, 'e': 0.027777777777777776}",35,23,21.027985950474132,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
